Occurred,City,State,Country,Shape,Summary,Reported,Posted
01/07/2021 20:00,Feasterville,PA,USA,Light,Green humming lights followed by red blinking light as it passes a separate set of white lights that quickly vanish.,01/07/2021,01/19/2021
01/07/2021 18:31,Hatfield,PA,USA,Cigar,It was really loud and i first thought it was a helicopter or something like that but when i checked my app Flightradar24 there was no,01/07/2021,01/19/2021
01/02/2021 18:30,Pipersville,PA,USA,Triangle,huge V shaped white lights. 5 lights on each side. No noise. Very odd sort of vapor trail appears then gone.,01/04/2021,01/19/2021
01/01/2021 12:00,Marcus Hook,PA,USA,Fireball,Minutes after fireworks I had noticed an orange fireball in the sky. It was moving fast and it skipped speed a few times.,02/03/2021,03/02/2021
01/01/2021 00:07,Marcus Hook,PA,USA,Fireball,Orange fireball traveling at high speed,01/03/2021,01/19/2021
12/31/2020 22:30,Nazareth,PA,USA,Fireball,Pulsating orange orb in eastern sky,01/01/2021,01/19/2021
12/31/2020 18:00,sellersville,PA,USA,Orb,6-7 Orange/Red UFOs,01/03/2021,01/19/2021
12/29/2020 20:00,McKees Rocks,PA,USA,Light,Red lights hovering above Pittsburgh suburbs.,12/29/2020,01/19/2021
12/27/2020 03:43,Lords Valley,PA,USA,,MADAR Node 44,01/08/2021,01/19/2021
12/24/2020 23:30,West Chester,PA,USA,Sphere,1 sphere like round firework. Still. Turned into 3 spheres. No sound until deep hum. No movement @1st. Then 3 from NW to SE.,12/26/2020,01/19/2021
12/20/2020 02:00,Sinking Springs,PA,USA,Flash,"Early in the am on night shift, I saw a bright green ball of light that looked like it was falling to earth. I do not think it looked l",05/28/2021,07/31/2021
12/19/2020 01:00,Limerick,PA,USA,Triangle,V-shape white lights moving through the sky before disappearing,12/19/2020,12/23/2020
12/17/2020 18:58,Pottstown,PA,USA,Formation,"Formation of UFOs, back and forth at high altitude.",12/18/2020,12/23/2020
12/16/2020 22:00,Ickesburg,PA,USA,Orb,Two orbs outside my house.,12/28/2021,03/04/2022
12/11/2020 17:03,Lords Valley,PA,USA,,MADAR Node 44,12/29/2020,01/19/2021
12/11/2020 09:17,Aston,PA,USA,Triangle,Very large translucent triangle,12/14/2020,12/23/2020
12/10/2020 19:25,Hookstown,PA,USA,Fireball,"Fiery, bluish, rocket tail traveling the night sky at a super sonic speed, then disappearing; left a distinct smokey travel line.",12/13/2020,12/23/2020
12/07/2020 12:57,Phoenixville,PA,USA,Cigar,White haze horizontal cigar/ sphere shaped object. Flying from south to north. Very high in sky no sound. Consistent travel speed. I se,12/06/2020,12/23/2020
12/06/2020 17:55,Manheim,PA,USA,Triangle,unusal obect in the sky,12/06/2020,12/23/2020
12/02/2020 23:00,Lords Valley,PA,USA,Cone,Top-shaped object.  Witness was unnerved by fact it was shining a search beam looking for something.,12/17/2020,12/23/2020
12/02/2020 18:30,Lehighton,PA,USA,Fireball,It was obviously on fire yet no meteors were reported plus if it were a meteor it would be moving side ways this thing came straighdown,12/21/2020,12/23/2020
12/01/2020 19:30,Trexlertown,PA,USA,Light,Saw a massive bright green beam of light shoot out of the ground into the sky,12/02/2020,12/23/2020
11/29/2020 13:00,Bensalem,PA,USA,Other,"Tic-tac appears approx 200 feet above in Neshaminy State Park, noticed because light reflects off of it into my eyes. I tell my girlfri",11/29/2020,12/23/2020
11/24/2020 06:07,Furlong,PA,USA,,MADAR Node 38,12/04/2020,12/23/2020
11/20/2020 17:30,Kintnersville,PA,USA,Circle,Large Circular Object not moving with white lights seen on 412 Durham Road Kintnersville PA,11/20/2020,12/23/2020
11/19/2020 23:00,Perkasie,PA,USA,Circle,"Blinking white and red circular light. Floating, is not satellite and barely moves",11/19/2020,12/23/2020
11/19/2020 19:30,New Wilmington,PA,USA,Circle,Something in the sky we hadn't seen before,11/20/2020,12/23/2020
11/19/2020 06:12,Parkesburg,PA,USA,Light,The whole thing lasted 2 seconds and made a letter U in the sky as it disappeared like it was turning around to point back to sky.,11/19/2020,12/23/2020
11/18/2020 19:00,Mercersburg,PA,USA,Unknown,Over course of a few weeks I've seen strange lights in the sky on certain nights. Always around the same time. The object(s) fly in the,12/09/2020,12/23/2020
11/16/2020 20:45,Meadville,PA,USA,Formation,Blue UFOs Going way over light speed,11/16/2020,12/23/2020
11/13/2020 20:50,bessemer,PA,USA,Triangle,bright fast light,11/13/2020,12/23/2020
11/12/2020 05:03,Fayetteville,PA,USA,Orb,Was leaving my house that morning to pick up a sony playstation 5 it was launch day and i noticed the lights and started to film.,10/07/2023,10/28/2023
11/10/2020 22:10,McClure,PA,USA,Light,“Star”-like object moves around in one place and seems to be searching.,11/10/2020,12/23/2020
11/09/2020 23:00,East Freedom,PA,USA,Oval,The object observed was a very large oval/disc shaped aircraft that was hovering closer to the ground. The object was blinking red and,11/10/2020,12/23/2020
11/09/2020 22:14,Shirleysburg,PA,USA,Triangle,((NUFORC Note:  Source of report provides no information.  PD)),11/09/2020,12/23/2020
11/09/2020 19:00,Kelly Crossroads,PA,USA,Unknown,Something stationary with flashing green and white lights (think of a strobe light effect.),11/13/2020,12/23/2020
11/08/2020 21:15,Oakdale,PA,USA,Light,Possible UFO sighting in small town.,11/08/2020,12/23/2020
11/08/2020 19:25,Harrisburg,PA,USA,Circle,Circle Floating,11/08/2020,12/23/2020
11/06/2020 23:30,Lower Moreland,PA,USA,Circle,"I will make this as clear as possible. My name is [redacted] and I am a high school student. Last night at around 23:30, My two friends",11/07/2020,12/23/2020
11/06/2020 18:58,Philadelphia,PA,USA,Other,Need to see for yourself,11/06/2020,12/23/2020
11/05/2020 23:00,East Freedom,PA,USA,Disk,"My fiance and I both witnessed this event and out of our many star gazing experiences, nothing ever came close to what we saw that nigh",12/12/2020,12/23/2020
11/05/2020 18:00,Pine Grove,PA,USA,Light,2 Lights Dancing in Sky,11/09/2020,12/23/2020
11/03/2020 19:20,Dillsburg,PA,USA,Other,Saw a string of bright white lights hovering or slowly moving above South Mountain. We were in the car and lost sight of it as the road,11/03/2020,12/23/2020
11/01/2020 07:40,Pittsburgh,PA,USA,Rectangle,Rectangular object gray in color moving slowly from east to west in the NW sky.,11/01/2020,12/23/2020
10/31/2020 18:30,Irwin,PA,USA,Orb,I saw I large White Orb about the size of the moon zip past at about 500-2000 mph.,08/12/2023,09/10/2023
10/31/2020 06:55,folsom,PA,USA,Circle,I was walking across the street and I notice a orange UFO moving slowly across the sky then it disappeared,10/31/2020,12/23/2020
10/26/2020 04:10,Reading,PA,USA,Other,oddly shaped moving object,10/26/2020,12/23/2020
10/24/2020 19:31,Catawissa,PA,USA,Other,Line of lights moving N to S.   ((Starlink satellites?)),10/24/2020,12/23/2020
10/24/2020 19:20,Bloomsburg,PA,USA,Other,I was driving in the car with friends when one of them pointed out what they thought was a shooting star.  ((Starlink satellites?)),10/25/2020,12/23/2020
10/22/2020 03:45,Millerton,PA,USA,,MADAR Node 104,11/04/2020,12/23/2020
10/21/2020 21:50,Milroy,PA,USA,Unknown,Was taking out the trash looked up to the east and saw a glowing orange like planet looking thing but moving in a circle them took a pi,10/21/2020,12/23/2020
10/17/2020 04:30,Atglen,PA,USA,Triangle,Extremely bright light contained in a pyramid shape high in the early morning sky.,10/18/2020,12/23/2020
10/14/2020 21:02,Yardey,PA,USA,Unknown,"2 brightly lit objects, intense orangish in color like shades of fire moved in unimpressive manner, followed by 4 more in random spacin",10/15/2020,12/23/2020
10/14/2020 20:30,Pittsburgh,PA,USA,Oval,Saw a Bright color changing/rapidly blinking craft over the city tonight it was oval shaped and silent,10/14/2020,12/23/2020
10/13/2020 20:30,Harlansburg,PA,USA,Triangle,Huge craft with triangle of red lights and one green light,10/14/2020,12/23/2020
10/11/2020 05:58,Millerton,PA,USA,Light,"Witnesses responded to a MADAR alert, went outside and saw a bright white light above the overcast cloud layer",01/09/2021,01/19/2021
10/11/2020 05:58,Millerton,PA,USA,,MADAR Node 104,02/18/2021,03/02/2021
10/11/2020 05:58,Millerton,PA,USA,Light,Witnesses responded to a MADAR alert at 5:58 AM on 10-11-20 7 & saw a bright white light above the overcast.  ((MUFON rept.)),01/13/2021,01/19/2021
10/10/2020 21:00,Hatboro,PA,USA,Sphere,"I looked at the sky above my front yard and saw a bright green light, sphere shape travel in a arc across the sky between two trees.",10/11/2020,12/23/2020
10/10/2020 21:00,Hatboro,PA,USA,Sphere,"Saw a large green light, sphere or circle .shaped go in arc across the sky, fairly fast, steady rate With no trail.",10/15/2020,12/23/2020
10/08/2020 21:00,Pittsburgh,PA,USA,Triangle,White lights and no sound was rotating and spinning in one spot almost a prism shape,12/21/2020,12/23/2020
10/07/2020 22:45,Freedom,PA,USA,Oval,3 oval shaped objects met in sky and hovered closely.,10/07/2020,12/23/2020
10/07/2020 01:05,Franklin,PA,USA,Oval,"Donut shaped craft, appeared to be a hole in the center, fire red to orange in color.(Changed)",10/07/2020,12/23/2020
10/06/2020 17:00,Harrisburg,PA,USA,Cigar,Capsule shaped object seen.,10/13/2020,12/23/2020
10/03/2020 21:00,Spring City,PA,USA,Flash,Green light in the sky,10/04/2020,11/05/2020
10/03/2020 21:00,Everett,PA,USA,Triangle,"One was much larger than the other and the smaller one appeared to be be following the much larger one, they also appeared to be commun",10/03/2020,11/05/2020
10/03/2020 20:00,Bethel Park,PA,USA,Light,"I was looking up at the big dipper, and to the left of the end of the handle, I witnessed a light slightly dimmer than the nearest star",10/03/2020,11/05/2020
10/02/2020 09:30,Bryn Mawr,PA,USA,Light,"Bright circle of light flying low, quickly and erratic about the size of a softball",10/23/2020,12/23/2020
