,Link,Occurred,City,State,Country,Shape,Summary,Reported,Posted,Media
920,Open,10/23/2019 22:00,Warren,PA,USA,Circle,"last night me and a friend had gone on a car trip around the Kinzua Dam, The light that I saw had seemed to have 2 bright very slowly b",10/24/2019,12/01/2019,
921,Open,10/21/2019 19:00,Garnet Valley,PA,USA,Unknown,LOOKED LIKE A CURVED LIGHT BAR - VERY CLOUDY SKY - HUNG LOW IN THE SKY - NO FLASHING LIGHTS - LIGHTS ON CRAFT STEADY ON - PAUSED A LOT,10/28/2019,12/01/2019,
922,Open,10/19/2019 23:55,Pittsburgh,PA,USA,Triangle,A friend noticed the 3 lights hovering above. It was shaped like a triangle. At first it appeared stagnant then it hovered slowly back,01/29/2021,03/02/2021,
923,Open,10/19/2019 22:24,Pittsburgh,PA,USA,,Group of 3 red lights in a distance. They were grouped together and then split and moved to the right out of sight. About 30 seconds la,10/20/2019,12/01/2019,
924,Open,10/17/2019 05:20,Nanticoke,PA,USA,Circle,Bright white light not shining at anything just floating,10/31/2019,12/01/2019,
925,Open,10/16/2019 23:22,Irwin,PA,USA,Circle,Right above my neighbor's house at 1st I thought it was the moon but I see the moon is Shining in an opposite direction and went right,10/17/2019,12/01/2019,
926,Open,10/16/2019 23:22,Irwin,PA,USA,Circle,Right above my neighbor's house at 1st I thought it was the moon but dinners I see the moon is Shannon in an opposite direction a ghost,10/17/2019,12/01/2019,
927,Open,10/15/2019 19:00,Palmer Township,PA,USA,Other,I saw a Black Boomerang shaped object Along with  2 lights appearing through the sky diagonally above the left side of object,11/08/2019,12/01/2019,
928,Open,10/15/2019 08:20,Philadelphia,PA,USA,Formation,I have brief video of what looks like 2 white circles moving. We live bu airport and this is definitely not a plane,10/15/2019,12/01/2019,
929,Open,10/13/2019 22:15,Hawley,PA,USA,Fireball,I was driving on 590 going towards 6. I look up in the sky because of green light that had caught my eye to see a green ball flying. It,10/13/2019,12/01/2019,
930,Open,10/11/2019 16:00,Doylestown,PA,USA,Cylinder,UFO shaped like a plane that is parked over the top of a house (Bucks County Flap).  ((anonymous report)),10/11/2019,12/01/2019,
931,Open,10/10/2019 20:00,Chest Springs,PA,USA,Oval,Slow Bright parallel white dots in a form of a rectangular shape,10/12/2019,12/01/2019,
