,Link,Occurred,City,State,Country,Shape,Summary,Reported,Posted,Media
2876,Open,10/14/2011 05:00,Falls Twp,PA,USA,Formation,"I don't know what it was I saw, but it made me very nervous and confused.",10/14/2011,10/19/2011,
2877,Open,10/10/2011 21:00,York,PA,USA,Orb,"BRIGHT LIT ORB SPEEDS ACROSS S.CENTRAL PA. SKY, MAKING NO SOUND, THEN DISAPPEARS",10/11/2011,10/19/2011,
2878,Open,10/09/2011 03:00,Clifton Heights,PA,USA,Fireball,Object giving off many different colors in sky.  ((NUFORC Note:  Possible sighting of Sirius.  PD)),10/09/2011,10/10/2011,
2879,Open,10/08/2011 21:15,Ford CIty,PA,USA,Unknown,Eight orange hovering orbs.,10/10/2011,10/10/2011,
2880,Open,10/08/2011 21:00,Whitpain Township,PA,USA,Formation,Big Dipper formation of orange objects.,10/08/2011,10/10/2011,
2881,Open,10/08/2011 20:00,Midway,PA,USA,Sphere,"Bright, reddish-orange sphere or fireball was traveling west in a straight line.",10/09/2011,10/10/2011,
2882,Open !,10/06/2011 18:00,Pottstown and Allentown (between; in flight),PA,USA,Disk,UFO came toward us at great speed and disappeared. We were flying a Cessna 152,07/26/2023,07/29/2023,
2883,Open,10/04/2011 23:00,Philadelphia,PA,USA,Circle,Two Circle Ufo's Flying At Extream Speeds,10/04/2011,10/10/2011,
2884,Open,09/29/2011 17:45,Bellevue,PA,USA,Sphere,saw perfectly sphered shaped white object tracking very visibly across slowly accross the sky,09/30/2011,10/10/2011,
2885,Open,09/26/2011 21:10,Watsontown,PA,USA,Triangle,Object cutting through haze of night.,09/26/2011,10/10/2011,
2886,Open,09/25/2011 23:35,Scranton,PA,USA,Fireball,Fireball crossed over the Interstate,10/01/2011,10/10/2011,
2887,Open,09/25/2011 19:30,Philadelphia,PA,USA,Unknown,"I videoed on my cell Phone little flashing blue lights for about 5 minutes. Also, the entire night sky would flash blue.",09/26/2011,10/10/2011,
2888,Open,09/23/2011 22:57,Mechanicsburg,PA,USA,Triangle,Triangular object with 3 lights seen flying above Interstate 81 near 581,09/23/2011,10/10/2011,
2889,Open,09/22/2011 18:00,Harleysville,PA,USA,Circle,5 orange/ yellow light over Harleysville Pa,09/26/2011,10/10/2011,
2890,Open,09/17/2011 22:00,Rockledge,PA,USA,Cone,"4  orange lights, 3 in the front in a sideways V formation and 1 in the back < - , the lights were steady orange not flashing.",09/17/2011,10/10/2011,
2891,Open,09/16/2011 22:52,Philadelphia,PA,USA,Oval,"Bright oval shaped object seen in the skies over downtown Philadelphia, made a quick hook in the sky and disappeared.",09/18/2011,10/10/2011,
2892,Open,09/16/2011 06:00,West Chester,PA,USA,Disk,Large circular shaped craft with bright and consistant pulsing lights on outer perimeter.,10/16/2011,10/19/2011,
2893,Open,09/15/2011 22:00,Scranton,PA,USA,Light,A BRIGHT GREEN LIGHT FLY BY MY HOUSE VERY FAST,09/15/2011,10/10/2011,
2894,Open,09/10/2011 22:30,Greenfield,PA,USA,Light,Bright light moving then stopped then moved again,09/10/2011,10/10/2011,
2895,Open,09/10/2011 20:00,Tremont,PA,USA,Orb,Ten Orbs Staggered but Still,04/08/2014,04/11/2014,
2896,Open,09/10/2011 12:50,Falls,PA,USA,Circle,"Red,  White, Blue, Lights in sky over PA, Falls",09/09/2011,10/10/2011,
2897,Open,09/08/2011 20:50,Lock Haven,PA,USA,Fireball,Large orange fireball moving at the speed of a small plane,09/08/2011,10/10/2011,
2898,Open,09/04/2011 22:00,Cheswick,PA,USA,Light,Orange/White dancing flame,09/06/2011,10/10/2011,
2899,Open,09/04/2011 21:10,King of Prussia,PA,USA,Formation,3 people see formation in Pennsylvania sky,09/04/2011,10/10/2011,
2900,Open,09/03/2011 21:30,Wilkes-Barre,PA,USA,Fireball,"I saw a steadily moving, bright and low fireball glide across the night sky.",09/03/2011,10/10/2011,
2901,Open,09/01/2011 23:45,Lancaster,PA,USA,Light,"thought it was a radio pole light, than it blinked, shot straight down, blinked 4/5 times and went into a clound",09/01/2011,10/10/2011,
2902,Open,09/01/2011 21:00,Lititz,PA,USA,Changing,"Orange/red sphere very large changed shape and color into small white light that flew off near Lancaster, PA",09/01/2011,10/10/2011,
2903,Open,08/30/2011 20:36,Sharon,PA,USA,Unknown,"Blue-tinted orb observed appearing and suddenly disappearing.  Sighted from the West Hill in Sharon, PA.",08/30/2011,10/10/2011,
2904,Open,08/28/2011 21:00,Perkasie,PA,USA,Triangle,"Balls of firelike composition coming in and out, movied together in formation at bizarre speed, stopped on a dime, disappeared.",08/22/2012,09/24/2012,
2905,Open,08/27/2011 22:00,Port Allegany,PA,USA,Circle,red light going across sky,08/27/2011,10/10/2011,
2906,Open,08/26/2011 21:00,Perkasie,PA,USA,Circle,"Three bright orange circles,flying slowly in a  triangular formation, from SE to NW",08/27/2011,10/10/2011,
2907,Open,08/25/2011 19:00,Carmichaels,PA,USA,Disk,Bowl shaped stationary object sighted in sky,08/27/2011,10/10/2011,
2908,Open,08/23/2011 10:05,Moon Township,PA,USA,Cylinder,"silver cylinder craft that became two, flying in opposite directions.",08/23/2011,10/10/2011,
2909,Open,08/23/2011 03:00,Stroudsburg,PA,USA,Flash,Ball Of Light White In Color & Possibly Related To East Coast EarthQuake 8-23-11 Over Pa,08/26/2011,10/10/2011,
2910,Open,08/20/2011 21:00,Chambersburg,PA,USA,Fireball,strange sightings,08/21/2011,08/21/2011,
2911,Open,08/20/2011 10:00,Philadelphia,PA,USA,Changing,"Circularly moving lights around an ""invisible"" cylinder transforms into V triad of lights with a red and green tail lightI",08/20/2011,08/21/2011,
2912,Open,08/15/2011 20:30,Dover Township,PA,USA,Unknown,"Dover Township, Pennsylvania; one week of camping and four seperate evening sightings of unknown craft displaying flames on underside.",09/09/2011,10/10/2011,
2913,Open,08/12/2011 20:15,Wernersville,PA,USA,Orb,"walking down the street to my house, i noticed a bright whitish-orange orb in the sky heading north east. the object appeared to be at",08/12/2011,08/21/2011,
2914,Open,08/12/2011 00:00,Pottstown,PA,USA,Sphere,Two Sphere's Near Limerick Power Plant,08/12/2011,08/21/2011,
2915,Open,08/11/2011 21:30,Poyntelle,PA,USA,Light,Strobe light like craft.,08/11/2011,08/21/2011,
2916,Open,08/11/2011 09:15,Trafford,PA,USA,Other,"Intense ball of bright white light fly-over Trafford, PA.",08/15/2011,08/21/2011,
2917,Open,08/10/2011 11:24,Washington,PA,USA,Disk,Me and my friend was watching the moon then we saw Three saucers or disks with three lights on it one was white and there were a red an,08/10/2011,08/21/2011,
2918,Open,08/05/2011 21:55,Oaks,PA,USA,Triangle,UFO Sighting on Route 422 near Oaks,08/05/2011,08/07/2011,
2919,Open,08/02/2011 21:30,Mahanoy City,PA,USA,Fireball,Orange fireballs appearing and disappearing.,08/02/2011,08/07/2011,
2920,Open,07/30/2011 09:00,Philadelphia,PA,USA,Fireball,"Orange size Fire-like Glowing Sphere in Pennsylvania July 30, 2011.",08/11/2011,08/21/2011,
2921,Open,07/29/2011 21:56,Williamsport,PA,USA,Fireball,"UNIDENTIFED FLYING OBJECT - Lycoming County, 7/29/11",07/29/2011,08/07/2011,
2922,Open,07/27/2011 08:00,Lone Pine,PA,USA,Other,Silver oval cylinder.,07/27/2011,08/07/2011,
2923,Open,07/24/2011 23:50,Farrell,PA,USA,Fireball,"I was sitting in my vehicle about 11:50 pm,and I decided to exit my car,as I stood in my driveway by my car I looked westward toward th",07/27/2011,08/07/2011,
2924,Open,07/23/2011 21:00,Landsdale (15 mi. N of; on Northeast extension),PA,USA,Fireball,"My experience happened earlier this evening. I was driving south on the northeast extension, had already passed through the lehigh tunn",07/23/2011,08/07/2011,
2925,Open,07/16/2011 23:52,Erie,PA,USA,Cigar,"Obj. with a single, white light appeared over city and Lake Erie and moved in ways I have never seen any aircraft move.",07/24/2011,08/07/2011,
2926,Open,07/16/2011 22:00,Monroeville,PA,USA,Light,Streaking to glowing light across sky,07/19/2011,08/07/2011,
2927,Open,07/15/2011 15:00,West Chester,PA,USA,Disk,((HOAX??))  Clear zoomed images of a UFO; no stars in the sky.,07/15/2011,07/17/2011,
2928,Open,07/15/2011 01:00,Easton,PA,USA,Circle,Row of bright lights hovering in the sky for at least 15 minutes before we left.,11/01/2013,11/11/2013,
2929,Open,07/13/2011 16:40,York,PA,USA,Sphere,It was a chrome looking sphere about 15 feet in diameter.  ((anonymous report)),02/13/2019,02/14/2019,
2930,Open,07/13/2011 13:30,Wilkes-Barre,PA,USA,Light,Very bright stationary object observed during broad daylight.,07/18/2011,08/07/2011,
2931,Open,07/09/2011 20:50,Elizabeth,PA,USA,Circle,Round black object  on fire  at first - traveling across sky . NO lights!,07/10/2011,07/17/2011,
2932,Open,07/07/2011 22:00,Helixville,PA,USA,Cigar,Cigar shaped neon green object,07/07/2011,07/17/2011,
2933,Open,07/05/2011 22:30,Minersville,PA,USA,Orb,Bright white and Red object zig zags across the sky and vanishes,07/06/2011,07/06/2011,
2934,Open,07/05/2011 22:05,Montgomery,PA,USA,Sphere,"While walking my dog I witnessed an orange ball moving North, when directly overhead, did a very fast upward tight spiral and disappere",03/16/2012,03/16/2012,
2935,Open,07/05/2011 01:00,Washington,PA,USA,Changing,At approx. 1:00am something caught my eye it was a clear night you could see all the,07/06/2011,07/17/2011,
2936,Open,07/04/2011 22:52,Harrisburg,PA,USA,Circle,Four reddish orange lights in the sky.,07/05/2011,07/06/2011,
2937,Open,07/04/2011 22:07,Smithton,PA,USA,Fireball,Unusual pulsating ball of light.,07/04/2011,07/06/2011,
2938,Open,07/04/2011 21:45,Hummlestown,PA,USA,Changing,Fireball/disc shaped craft over hummelstown / herhsey PA area,07/05/2011,07/06/2011,
2939,Open,07/04/2011 21:00,Ellwood City,PA,USA,Sphere,"Last fourth of july, my father and i were shooting off professional fireworks, and after we were done, my dad pointed to the sky and as",06/28/2012,07/04/2012,
2940,Open,07/03/2011 22:30,Conneaut Lake,PA,USA,Circle,glowing orange ball in the south sky,07/04/2011,07/06/2011,
2941,Open,07/03/2011 22:00,Whitehall,PA,USA,Light,"Red light hovering in Whitehall, PA shoots up into atmosphere",07/04/2011,07/06/2011,
2942,Open,07/03/2011 21:45,Hanover Township,PA,USA,Teardrop,"July 4th ufo's, & flare lit balloons",07/16/2011,07/17/2011,
2943,Open,07/03/2011 21:30,Patton,PA,USA,Light,Orange light in the sky,07/09/2011,07/17/2011,
2944,Open,07/03/2011 21:24,Patton,PA,USA,Light,Orange light in the sky over Patton PA... appeared twice.,07/09/2011,07/17/2011,
2945,Open,07/03/2011 20:30,Easton,PA,USA,Disk,L shaped lights moving across the night sky,01/14/2012,01/24/2012,
2946,Open,07/02/2011 17:00,Blue Ridge Summit,PA,USA,Sphere,Slowly moving  and hovering orange glowing sphere,07/03/2011,07/04/2011,
2947,Open,07/02/2011 01:00,Dunmore,PA,USA,Circle,"Orange firey lights, unexplainable",07/01/2011,07/04/2011,
2948,Open,07/01/2011 23:35,McKeesport,PA,USA,Light,Bright reddish-orange light observed crossing the sky from SE to NW in the direction of Pittsburgh.,07/01/2011,07/04/2011,
2949,Open,06/29/2011 22:00,Jeannette,PA,USA,Light,Silent light heading over night sky.,06/29/2011,07/04/2011,
2950,Open,06/28/2011 14:55,Erie,PA,USA,Cigar,"Reflective cigar shaped craft sighted over erie, pa; gone in seconds.",06/28/2011,07/04/2011,
2951,Open,06/26/2011 22:33,Camp Seph Mack,PA,USA,Circle,Solid multiple and blue red spheres moving at extreme speeds and heights.,06/26/2011,06/27/2011,
2952,Open,06/19/2011 21:45,Pittsburgh,PA,USA,Orb,Observed 2-3 bright orange orbs just east of Downtown Pittsburgh,06/20/2011,06/20/2011,
2953,Open,06/19/2011 14:30,Maple Glen,PA,USA,Rectangle,low ufo followed by black helicopter.,06/19/2011,06/20/2011,
2954,Open,06/18/2011 22:00,Monaca,PA,USA,Unknown,"Observed one light source traveling across night sky at three separate in line intervals, followed by a right angle right turn, followe",06/18/2011,06/20/2011,
2955,Open,06/17/2011 00:00,Plum Boro,PA,USA,Other,Green Triangle Craft 350 ft. above head.,07/01/2012,07/04/2012,
2956,Open,06/16/2011 18:00,Doylestown,PA,USA,Changing,"Dark in color, maybe black. Looked like a long, rectangular balloon. Kept bending with the wind. Seemed to be traveling straight down F",06/16/2011,06/20/2011,
2957,Open,06/11/2011 20:30,Franklin,PA,USA,Cigar,"missile shaped object with no wings, tail, contrail, or sound",06/12/2011,06/12/2011,
2958,Open,06/10/2011 21:22,Lewistown,PA,USA,Fireball,"Observed a bright, fire-ball suspended in the sky with 3 bright red points of light emitting from it.",06/10/2011,06/12/2011,
2959,Open,06/06/2011 10:15,Lyons,PA,USA,Other,"Was brown, almost like a weathered telephone pole, totally noiseless with no lights.  ((NUFORC Note:  Witness is astronomer.  PD))",06/16/2011,06/20/2011,
2960,Open,06/03/2011 01:00,Lancaster,PA,USA,Orb,"bright orange orbs every night/ planes chasing.  ((NUFORC Note:  Probably not a UFO, we suspect.  PD))",06/03/2011,06/03/2011,
2961,Open,06/01/2011 22:30,Lancaster,PA,USA,Circle,4 witness confirmation on another's sighting,07/16/2011,07/17/2011,
2962,Open,05/29/2011 23:30,Moon,PA,USA,Orb,Green Orb seen near Pitt International Airport,05/30/2011,06/03/2011,
2963,Open,05/21/2011 21:30,Mount Joy,PA,USA,Other,"Three amber lights form perfect triangle, and slowly disappear one by one.",05/24/2011,05/29/2011,
2964,Open,05/19/2011 10:50,Elizabethtown,PA,USA,Oval,Bright Oval Dissolved/Flickered in night sky,05/19/2011,05/29/2011,
2965,Open,05/11/2011 10:05,Pottsville,PA,USA,Unknown,fast moving object stopped 6 cars after flying overhead,05/11/2011,05/12/2011,
2966,Open,05/10/2011 21:30,Phoenixville,PA,USA,Orb,i was leaving my buddys house walking to my car and i looked to the horizon and saw 4 flickering glowing orbs going in and out of focus,05/11/2011,05/12/2011,
2967,Open,05/06/2011 14:00,Hunlock Creek,PA,USA,Triangle,Triangular shaped object viewed during daytime hours in Northeastern PA,05/06/2011,05/12/2011,
2968,Open,05/04/2011 00:00,Hershey,PA,USA,,Alien Abduction Scar/Marks???,05/04/2011,05/12/2011,
2969,Open,04/30/2011 22:20,Saegertown,PA,USA,Light,Bright blue light shoots across Pennsylvania sky causing power outages and stopping car engines,05/01/2011,05/02/2011,
2970,Open,04/30/2011 22:20,Saegertown,PA,USA,,Bright blue light shoots across Pennsylvania sky causing power outages and stopping car engines.  ((NUFORC Note:  2nd witness.  PD)),05/01/2011,05/02/2011,
2971,Open,04/28/2011 19:30,Cabot,PA,USA,Sphere,"Round blob shaped UFO spotted in evening sky over Butler County, PA.",04/28/2011,05/02/2011,
2972,Open,04/26/2011 03:00,Wilkes-Barre,PA,USA,Rectangle,Rectangular object with round lights in it flying low altitude at a high rate of speed over Wilkes-Barre sky's,04/27/2011,05/02/2011,
2973,Open,04/21/2011 22:00,Effort,PA,USA,Triangle,Triangular craft over Poconos...,04/23/2011,05/02/2011,
2974,Open,04/17/2011 21:50,Kutztown,PA,USA,Circle,bright light over park that was steady then disappeared,04/17/2011,05/02/2011,
2975,Open,04/15/2011 19:30,Vandergrift,PA,USA,Disk,"Definate ufo sighting in vandergrift, pa",04/17/2011,05/02/2011,
2976,Open,04/06/2011 01:23,South Williamsport,PA,USA,Diamond,"Unusual sighting in South Williamsport, Pa",04/05/2011,05/02/2011,
2977,Open,04/05/2011 20:35,New Castle,PA,USA,Other,Zig zag formation lighted object Highland Ave.,04/05/2011,05/02/2011,
2978,Open,03/28/2011 13:30,Reading,PA,USA,,Cloud Shaped UFO,03/29/2011,04/03/2011,
2979,Open,03/26/2011 22:00,Morrisville,PA,USA,Other,"Weird glowing orange ball flying over Morrisville, Pa on 3/26/11.",03/28/2011,04/03/2011,
2980,Open,03/20/2011 19:40,Elliottsburg,PA,USA,Triangle,Bright white lights came close enough to see a triangular shaped craft with bright circular lights on its bottom.,03/20/2011,03/23/2011,
2981,Open,03/12/2011 04:00,Spring Grove,PA,USA,Unknown,UFO spotted in the Pigeon Hills (Spring Grove) again,04/04/2011,05/02/2011,
2982,Open,03/08/2011 21:00,West Springfield,PA,USA,Triangle,"Three lights spanning 20 feet, in the shape of a boomerang, change orientation and disappear.",03/08/2011,03/10/2011,
2983,Open,03/08/2011 20:15,Greensburg,PA,USA,Unknown,Red lights over residential neighborhood,03/08/2011,03/10/2011,
2984,Open,03/08/2011 20:00,West Springfield,PA,USA,Triangle,"3 lighted boomerang under 500 ft in the sky saw in West Springfield, PA.",03/10/2011,03/10/2011,
2985,Open,03/07/2011 02:45,Clearfield,PA,USA,Other,2 Star like objects,06/21/2012,07/04/2012,
2986,Open,03/02/2011 17:15,Harrisburg,PA,USA,Oval,UFO in Harrisburg,03/23/2011,03/23/2011,
2987,Open,03/01/2011 18:00,Conshohocken,PA,USA,Other,orange/red contrail formations,03/01/2011,03/10/2011,
2988,Open,03/01/2011 00:00,Reading,PA,USA,Sphere,W,03/01/2011,03/10/2011,
2989,Open,03/01/2011 00:00,Reading,PA,USA,Sphere,What did I see?,03/01/2011,03/10/2011,
2990,Open,02/23/2011 05:13,Whitemarsh,PA,USA,,Bluish-Green teardrop descending North of I-276,03/11/2011,03/23/2011,
2991,Open,02/23/2011 05:13,Blue Bell,PA,USA,Teardrop,Bright green teardrop/comet shaped object in dark morning  sky.,02/23/2011,02/23/2011,
2992,Open,02/23/2011 03:30,Tremont,PA,USA,Light,"Two bright lights appeared over the sky above Tremont, PA, one sped off at a very high rate of speed.",02/25/2011,03/10/2011,
2993,Open,02/21/2011 19:00,Pipersville,PA,USA,Light,Lights in the sky - one white circle in the middle with 4 or 5 smaller circles around that were moving in and out towards middle circle,03/01/2011,03/10/2011,
2994,Open,02/19/2011 02:00,Bloomsbug,PA,USA,Disk,Red flashing object flew directly over our heads at high speeds,02/20/2011,02/23/2011,
2995,Open,02/15/2011 20:00,Harleysville,PA,USA,Sphere,I was just reporting a sighting I saw a few minutes ago and remembered an experience I had a few years ago. ((anonymous report)),01/03/2018,01/12/2018,
2996,Open,02/14/2011 18:05,Pittsburgh,PA,USA,Circle,Circular object hovering over Route 60,02/15/2011,02/18/2011,
2997,Open,02/10/2011 19:00,Lansdale,PA,USA,Triangle,"Triangle ufo (tr-3b) low hovering, many witnesses",11/02/2011,12/12/2011,
2998,Open,02/03/2011 23:00,Pittsburg,PA,USA,Cigar,The UFO was hovering.,05/16/2012,05/29/2012,
2999,Open,01/31/2011 00:00,Downingtown,PA,USA,Circle,Lage ball of white light as though a massive spotlight suddenly appeared and shot across the sky at very high speed.,01/31/2011,01/31/2011,
3000,Open,01/22/2011 20:20,North Coventry,PA,USA,Light,Intense bright red light appeared in chester county french creek area,01/22/2011,01/31/2011,
3001,Open,01/22/2011 09:00,Philadelphia,PA,USA,Light,"It started off with 1 light standing very still, afterwards it went to the west direction and came back with another light now it is 2",01/22/2011,01/31/2011,
3002,Open,01/11/2011 23:43,Centre Hall,PA,USA,Changing,A mutating fiery flying mass descendes behind mountains,01/11/2011,01/31/2011,
3003,Open,01/11/2011 05:19,Downingtown,PA,USA,Fireball,Sparking Fireball spotted rising in the early morning PA sky!,01/11/2011,01/31/2011,
3004,Open,01/10/2011 17:45,Erie,PA,USA,Cigar,"An unusally loud, low flying , fast aircraft, with no lights, heading north of Erie County, PA dissappears.",01/10/2011,01/31/2011,
3005,Open,01/06/2011 05:27,Edinburg,PA,USA,Fireball,A single strange redish-orange light in the sky.,01/06/2011,01/31/2011,
3006,Open,01/03/2011 16:40,Fairless Hills,PA,USA,Unknown,"1 Bright white dot, eventually ended up being 6 in 2 same shaped triangles",01/05/2011,01/31/2011,
3007,Open,01/02/2011 23:30,Adrian,PA,USA,Circle,There was a green light and a round circle hanging over us.,01/02/2011,01/05/2011,
3008,Open,01/01/2011 22:30,Doylestown,PA,USA,Light,ufo sightingin doylestown pennsylvania,01/01/2011,01/05/2011,
3009,Open,01/01/2011 22:27,Doylestown,PA,USA,Fireball,Witnessed approximately 70 flaming balls travel across the eastern sky in a semi circular trajectory.,01/02/2011,01/05/2011,
3010,Open,01/01/2011 00:15,Milmont Park,PA,USA,Triangle,"UFO Sighting, 7 of us never seen anything like it in Milmont Park, PA !!!",01/07/2011,01/31/2011,
3011,Open,12/31/2010 23:50,Montgomery,PA,USA,Fireball,Multiple witness Fireball sighting with animal reaction,01/10/2011,01/31/2011,
3012,Open,12/31/2010 23:43,Fairfax,PA,USA,Light,"6 red lights flying in a line over Fairfax, VA while changing speed and position before simultaneously disappearing",01/02/2011,01/05/2011,
3013,Open,12/31/2010 23:00,Lewisburg,PA,USA,Fireball,Saw unexplained fireball in PA on New Years eve,01/10/2011,01/31/2011,
3014,Open,12/29/2010 20:19,Belle Vernon (Westward),PA,USA,Circle,ball of light vanished,01/04/2011,01/05/2011,
3015,Open,12/28/2010 18:55,Columbia,PA,USA,Circle,"Fast moving, very bright light flying low and silently that suddenly disappeared.",12/28/2010,01/05/2011,
3016,Open,12/24/2010 21:30,Center Valley,PA,USA,Fireball,I was working last night in a group home and witnessed this while talking on the phone on the front porch of the home. I called my cowo,12/25/2010,01/05/2011,
3017,Open,12/24/2010 20:00,Columbia,PA,USA,Light,Lights hovering over the field.,01/01/2013,02/04/2013,
3018,Open,12/23/2010 21:00,Downingtong,PA,USA,Other,"Seven lights in two sets of triangles, 3 lights each, formed a straight line and dissappeared one after another.",02/14/2012,03/13/2012,
3019,Open,12/21/2010 21:00,Erwinna,PA,USA,Light,"6 or so red lights that traveled eastward across the Delaware River from Erwinna, and then dissipated into thin air.",12/22/2010,01/05/2011,
3020,Open,12/21/2010 19:10,Jeffersonville,PA,USA,Oval,"Saw 5 or 6 crafts, two ascended very very quickly upward-- All were fast, a couple may have been planes (but only one made noise)",12/21/2010,01/05/2011,
3021,Open,12/12/2010 16:30,Lancaster,PA,USA,Sphere,I observed a solo object shaped like a metallic golf ball low on the horizon moving eastward over Willowstreet pike near Bookmiller par,02/26/2012,03/13/2012,
3022,Open,12/04/2010 20:00,Pittsburgh,PA,USA,Unknown,"On Decemeber 4th,2010 at 8 P.M in Pittsburgh, Pa, 14 unknown silent aircrafts flew over head and vanished.",12/04/2010,01/05/2011,
3023,Open,12/02/2010 21:30,Uniontown,PA,USA,Triangle,I was taking my girlfriend home when we saw a bright light shinning about 20 feet higher than the telephone poles. As I slowed down to,12/02/2010,01/05/2011,
3024,Open,11/22/2010 21:00,Northumberland County,PA,USA,Changing,"Shape-shifters: Peach-colored lights/orbs & hovering, fake planes",11/28/2010,01/05/2011,
3025,Open,11/20/2010 21:00,Gettysburg,PA,USA,Fireball,"Fireball seen over Gettysburg Nov. 20, 2010",11/25/2010,01/05/2011,
3026,Open,11/19/2010 17:35,Millersville,PA,USA,Unknown,as above,11/19/2010,11/21/2010,
3027,Open,11/13/2010 12:00,Pottstown,PA,USA,Sphere,"Unknown object filmed from airplane, Pottstown, Pennsylvania.",12/15/2012,12/20/2012,
3028,Open,11/12/2010 05:30,Downingtown,PA,USA,Light,"Two Bright, Circular Objects Lingered in the morning sky and then sped away at remarkable speed",11/12/2010,11/21/2010,
3029,Open,11/10/2010 16:40,Pottsville,PA,USA,Oval,Metallic Object with con trails dissapears.,11/12/2010,11/21/2010,
3030,Open,11/08/2010 16:00,Huntingdon,PA,USA,Unknown,Reflective object changed flight directions by 90 degrees and disappeared.,11/25/2010,01/05/2011,
3031,Open,11/07/2010 00:05,Allison Park,PA,USA,Circle,Strange Objects Near Orion's Belt,11/06/2010,11/21/2010,
3032,Open,11/04/2010 23:00,Bensalem,PA,USA,Teardrop,I looked out the window to see a saucer chasing a red teardrop.,01/17/2011,01/31/2011,
3033,Open,10/31/2010 19:00,Pittsburgh,PA,USA,Fireball,"glowing fireball seen in the sky over Pittsburgh, PA",10/31/2010,11/21/2010,
3034,Open,10/31/2010 12:41,Philipsburg,PA,USA,Circle,"Night observation of bright, white circular light descending soundlessly in straight path from sky toward the ground.",10/31/2010,11/21/2010,
3035,Open,10/29/2010 19:45,Tionesta,PA,USA,Egg,This is nothing like I have ever seen.,10/29/2010,11/21/2010,
3036,Open,10/27/2010 10:00,Harleysville,PA,USA,Light,"I saw a red light flying through the sky at a very high speed. My first thought was it can't be a plane because it was not blinking, an",10/27/2010,11/21/2010,
3037,Open,10/23/2010 21:00,Boyertown,PA,USA,Circle,red orange ball of fire,10/28/2010,11/21/2010,
3038,Open,10/22/2010 21:22,Pittsburgh,PA,USA,Sphere,"Red/Orange globe with flame tail moving across sky, stopping then reversing direction.",10/23/2010,11/21/2010,
3039,Open,10/20/2010 19:33,Williamsport,PA,USA,Light,2 craft in formation,10/20/2010,11/21/2010,
3040,Open,10/20/2010 19:28,Plymouth,PA,USA,Light,i saw 2 objects in the sky to the right of jupiter that i cannot understand,10/22/2010,11/21/2010,
3041,Open,10/18/2010 16:00,Pittsburgh,PA,USA,Changing,Weird object (shaped like plastic bag) moving across sky.,10/18/2010,11/21/2010,
3042,Open,10/17/2010 18:40,Nazareth,PA,USA,Light,Hovering / Pulsing Blue light  observed by 2 buses of students and adults,10/21/2010,11/21/2010,
3043,Open,10/17/2010 02:00,Norristown,PA,USA,Disk,"Pulsating ufo slowly descended and stayed hovering for about an hour,",10/21/2010,11/21/2010,
3044,Open,10/16/2010 22:30,Pittsburgh,PA,USA,Formation,"A large fast moving V formation of lights.  Appeared to be one craft, no sound.  Was only visible from my vantage point for about a min",10/16/2010,11/21/2010,
3045,Open,10/15/2010 20:00,Havertown,PA,USA,Light,This happened a few years ago and I've wondered about it every since. I am an ameteur astronomer and I don't necessarily believe in UFO,09/10/2012,09/24/2012,
3046,Open,10/15/2010 03:00,Harleysville,PA,USA,Circle,UFO above my house. Possibly abducted.,09/02/2011,10/10/2011,
3047,Open,10/10/2010 02:30,Harrisburg,PA,USA,Circle,possible UFO sighting,10/15/2010,11/21/2010,
3048,Open,10/09/2010 22:30,Meadville,PA,USA,Triangle,strange lights over meadville,10/13/2010,11/21/2010,
3049,Open,10/09/2010 21:40,York,PA,USA,Other,"three non-moving, orange,  pulsating objects form triangle over night sky then disappear one at a time.",10/11/2010,11/21/2010,
3050,Open,10/08/2010 16:30,Morrisdale,PA,USA,Disk,2 silent silver disks one flying east one west pass closely by eachother and continue flying in exact opposite flight paths,10/09/2010,11/21/2010,
3051,Open,10/08/2010 05:30,Tunkhannock,PA,USA,Unknown,3 star looking objects running in straight line formation north -north west then the leader turned left,10/08/2010,11/21/2010,
3052,Open,10/02/2010 20:00,Allentown,PA,USA,Light,Two bright white lights.,10/13/2010,11/21/2010,
3053,Open,10/01/2010 21:00,Pittsburgh area,PA,USA,Oval,I79 sighting of hovering white object,10/16/2010,11/21/2010,
3054,Open,09/25/2010 22:05,New Castle,PA,USA,Fireball,"There were 10 orb shaped balls, the color of fire.",09/25/2010,11/21/2010,
3055,Open,09/25/2010 22:00,New Castle,PA,USA,Formation,formation of bright orange lights seen moving across the night sky from north to south and then disappears,09/27/2010,11/21/2010,
3056,Open,09/25/2010 10:10,New Castle,PA,USA,Fireball,"Witnessed 12-15 larger-than-stars orbs hover over New Castle, Pa, then slowly dim a few at a time.",09/25/2010,11/21/2010,
3057,Open,09/21/2010 08:59,Apollo,PA,USA,Light,"a LIGHT that moves around like a ""firefly"". Then changes color.",09/21/2010,11/21/2010,
3058,Open,09/21/2010 05:30,East Petersburg,PA,USA,Chevron,"Two identical white lights, one following the other,  speeding across a very early morning clear sky",09/21/2010,11/21/2010,
3059,Open,09/18/2010 23:45,Easton,PA,USA,Sphere,"Raubesville Pa, Bright orange star shaped light fast moving, hovered and the shot back into the sky again.",09/20/2010,11/21/2010,
3060,Open,09/18/2010 23:00,North East,PA,USA,Fireball,Fireball over North East Pennsylvania moves across Lake Erie towards Canada,09/19/2010,11/21/2010,
